configuration,metric,n,mean,median,bootstrap_ci95_low,bootstrap_ci95_high,note
C0_BuildOnly,pipeline_time_seconds,72,0.2476679874970513,0.21900685000582598,0.2292103777743048,0.27041025416514863,
C0_BuildOnly,recall,72,0.0,0.0,0.0,0.0,
C0_BuildOnly,precision,72,0.0,0.0,0.0,0.0,
C0_BuildOnly,auto_remediation_rate,72,0.0,0.0,0.0,0.0,
C0_BuildOnly,mttr_seconds,72,0.0,0.0,0.0,0.0,
C1_NonBlockingScanning,pipeline_time_seconds,72,22.060793373612494,20.69128150001052,21.079556895831452,23.393135641669183,
C1_NonBlockingScanning,recall,72,0.7946428571428571,1.0,0.7113095238095238,0.8660714285714286,
C1_NonBlockingScanning,precision,72,0.11127013305322128,0.058823529411764705,0.08013927793339558,0.14981471755368814,
C1_NonBlockingScanning,auto_remediation_rate,72,0.0,0.0,0.0,0.0,
C1_NonBlockingScanning,mttr_seconds,72,0.0,0.0,0.0,0.0,
C2_AutoScanning,pipeline_time_seconds,72,76.41755149166823,20.715126250026515,21.23282303610904,186.39257524166655,
C2_AutoScanning,recall,72,0.7946428571428571,1.0,0.7113095238095238,0.8660714285714286,
C2_AutoScanning,precision,72,0.12434202847805789,0.058823529411764705,0.08828052054154996,0.16998618892001244,
C2_AutoScanning,auto_remediation_rate,72,0.0,0.0,0.0,0.0,
C2_AutoScanning,mttr_seconds,72,0.0,0.0,0.0,0.0,
C3_PolicyOnly,pipeline_time_seconds,72,23.001613669442627,20.82776700000977,21.62075519166198,24.695265970833134,
C3_PolicyOnly,recall,72,0.7946428571428571,1.0,0.7113095238095238,0.8660714285714286,
C3_PolicyOnly,precision,72,0.11127013305322128,0.058823529411764705,0.08013927793339558,0.14981471755368814,
C3_PolicyOnly,auto_remediation_rate,72,0.0,0.0,0.0,0.0,
C3_PolicyOnly,mttr_seconds,72,0.0,0.0,0.0,0.0,
C4_AgentsOnly,pipeline_time_seconds,72,44.17364595972241,41.69150630000513,42.676109593056836,46.084283515272546,
C4_AgentsOnly,recall,72,0.7946428571428571,1.0,0.7113095238095238,0.8660714285714286,
C4_AgentsOnly,precision,72,0.11127013305322128,0.058823529411764705,0.08013927793339558,0.14981471755368814,
C4_AgentsOnly,auto_remediation_rate,72,0.04765953256302521,0.058823529411764705,0.04207589285714286,0.05275698821195145,
C4_AgentsOnly,mttr_seconds,72,0.22493008333333334,0.230628,0.19913345833333332,0.2481330138888889,
C5_SecFlowOps,pipeline_time_seconds,72,43.74924434860845,41.40894719999051,42.27478826805196,45.51014594027543,
C5_SecFlowOps,recall,72,0.7946428571428571,1.0,0.7113095238095238,0.8660714285714286,
C5_SecFlowOps,precision,72,0.11127013305322128,0.058823529411764705,0.08013927793339558,0.14981471755368814,
C5_SecFlowOps,auto_remediation_rate,72,0.04765953256302521,0.058823529411764705,0.04207589285714286,0.05275698821195145,
C5_SecFlowOps,mttr_seconds,72,0.2090547361111111,0.217376,0.18563280555555556,0.231830375,
