configuration,n_runs,pipeline_success_rate,mean_pipeline_time_seconds,mean_scanner_time_seconds,mean_findings_initial,mean_findings_residual,mean_recall,mean_precision,mean_auto_remediation_rate,mean_mttr_seconds,mean_mttd_seconds
C1_NonBlockingScanning,3,1.0,19.619907933306724,19.494839633329928,78.0,78.0,0.0,0.0,0.0,0.0,19.616591
C2_AutoScanning,3,1.0,19.266798833326902,19.140679533341125,78.0,78.0,0.0,0.0,0.0,0.0,19.263241999999998
C3_PolicyOnly,3,0.0,24.24955806667761,23.53377936669858,78.0,78.0,0.0,0.0,0.0,0.0,23.657131
C4_AgentsOnly,3,1.0,95.6619820666577,53.27029859998341,78.0,31.0,0.0,0.0,0.02564102564102564,42.18526966666666,22.619976666666666
C5_SecFlowOps,3,0.0,96.30241500000314,50.365829899984725,78.0,31.0,0.0,0.0,0.02564102564102564,44.777811,21.723547333333332
