comparison,metric,n_pairs,mean_delta_seconds,median_delta_seconds,stdev_delta_seconds,min_delta_seconds,max_delta_seconds
C5_vs_C0_total,pipeline_time_seconds,72,43.5015763611114,41.142635300027905,7.255166565715705,37.8326345999958,79.6202992000035
C5_vs_C1_incremental,pipeline_time_seconds,72,21.688450974995956,20.49754509999184,6.7459165194775865,8.186106499982998,58.251055100001395
C3_vs_C1_policy_gate,pipeline_time_seconds,72,0.9408202958301344,0.17333940000389703,4.282287659650212,-11.146077200071886,20.494457699998748
C4_vs_C1_agent_rescan,pipeline_time_seconds,72,22.112852586109916,20.69517985000857,4.6860436664069685,10.372144699911587,39.8516792000155
C5_vs_C4_policy_increment,pipeline_time_seconds,72,-0.42440161111395963,0.03800509998109192,6.492164793328954,-22.213322199997492,28.28319400001783
