critical_tolerance,high_threshold,cvss_ceiling,block_on_secret,min_coverage,n_policy_runs,allow_rate,deny_rate,mean_residual_count
0,0,7.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,0,7.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,0,9.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,0,9.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,0,10.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,0,10.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,1,7.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,1,7.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,1,9.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,1,9.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,1,10.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,1,10.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,3,7.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,3,7.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,3,9.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,3,9.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,3,10.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,3,10.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,5,7.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,5,7.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,5,9.0,True,0.8,11,0.9090909090909091,0.09090909090909091,3.909090909090909
0,5,9.0,False,0.8,11,0.9090909090909091,0.09090909090909091,3.909090909090909
0,5,10.0,True,0.8,11,0.9090909090909091,0.09090909090909091,3.909090909090909
0,5,10.0,False,0.8,11,0.9090909090909091,0.09090909090909091,3.909090909090909
0,10,7.0,True,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,10,7.0,False,0.8,11,0.8181818181818182,0.18181818181818182,3.909090909090909
0,10,9.0,True,0.8,11,0.9090909090909091,0.09090909090909091,3.909090909090909
0,10,9.0,False,0.8,11,0.9090909090909091,0.09090909090909091,3.909090909090909
0,10,10.0,True,0.8,11,0.9090909090909091,0.09090909090909091,3.909090909090909
0,10,10.0,False,0.8,11,0.9090909090909091,0.09090909090909091,3.909090909090909
