configuration,metric,n,mean,median,bootstrap_ci95_low,bootstrap_ci95_high,note
C1_NonBlockingScanning,pipeline_time_seconds,3,50.718253466688715,50.497357000014745,49.5898528000107,52.067550600040704,Descriptive bootstrap interval; not a substitute for independent replication
C1_NonBlockingScanning,recall,3,0.5,0.5,0.5,0.5,Descriptive bootstrap interval; not a substitute for independent replication
C1_NonBlockingScanning,precision,3,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,Descriptive bootstrap interval; not a substitute for independent replication
C1_NonBlockingScanning,auto_remediation_rate,3,0.0,0.0,0.0,0.0,Descriptive bootstrap interval; not a substitute for independent replication
C1_NonBlockingScanning,mttr_seconds,3,0.0,0.0,0.0,0.0,Descriptive bootstrap interval; not a substitute for independent replication
C3_PolicyOnly,pipeline_time_seconds,3,48.95524700001503,48.39830370002892,47.212922500038985,51.25451479997719,Descriptive bootstrap interval; not a substitute for independent replication
C3_PolicyOnly,recall,3,0.5,0.5,0.5,0.5,Descriptive bootstrap interval; not a substitute for independent replication
C3_PolicyOnly,precision,3,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,Descriptive bootstrap interval; not a substitute for independent replication
C3_PolicyOnly,auto_remediation_rate,3,0.0,0.0,0.0,0.0,Descriptive bootstrap interval; not a substitute for independent replication
C3_PolicyOnly,mttr_seconds,3,0.0,0.0,0.0,0.0,Descriptive bootstrap interval; not a substitute for independent replication
