configuration,n_runs,pipeline_success_rate,mean_pipeline_time_seconds,mean_scanner_time_seconds,mean_findings_initial,mean_findings_residual,mean_recall,mean_precision,mean_auto_remediation_rate,mean_mttr_seconds,mean_mttd_seconds
C1_NonBlockingScanning,1,1.0,44.055758900009096,43.180023900058586,24.0,24.0,1.0,0.08333333333333333,0.0,0.0,44.053298
C3_PolicyOnly,1,1.0,38.90320260002045,37.08706350001739,24.0,24.0,1.0,0.08333333333333333,0.0,0.0,37.884809
