configuration,size_class,n_runs,mean_pipeline_time_seconds,median_pipeline_time_seconds,stdev_pipeline_time_seconds,mean_build_time_seconds,median_build_time_seconds,stdev_build_time_seconds,mean_initial_scanner_time_seconds,median_initial_scanner_time_seconds,stdev_initial_scanner_time_seconds,mean_post_scanner_time_seconds,median_post_scanner_time_seconds,stdev_post_scanner_time_seconds,mean_total_scanner_time_seconds,median_total_scanner_time_seconds,stdev_total_scanner_time_seconds,mean_remediation_time_seconds,median_remediation_time_seconds,stdev_remediation_time_seconds,mean_policy_time_seconds,median_policy_time_seconds,stdev_policy_time_seconds
C0_BuildOnly,large,3,0.2915926666658682,0.18098880001343787,0.19326020680420042,0.2882014333154075,0.17775309999706224,0.19298864723600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0_BuildOnly,medium,3,0.2208313666827356,0.19184200000017881,0.06123721047770464,0.2176618999801576,0.1887386999442242,0.061018311628526264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0_BuildOnly,small,3,0.1954982333118096,0.20197699998971075,0.016107546836510302,0.19153503332442293,0.19815219996962696,0.015406869983052629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0_BuildOnly,xlarge,3,0.2941105333350909,0.29201959999045357,0.0521960199117909,0.2887750333175063,0.28840319998562336,0.051708952702506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0_BuildOnly,xxlarge,3,0.22960849998829266,0.20296670001698658,0.06443655864882125,0.22598250000737607,0.19944260001648217,0.06368905830236611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_NonBlockingScanning,large,3,8.579309266681472,8.10750680003548,0.867045528694816,0.2112133666717758,0.20295489998534322,0.043763170118493275,8.309805000006842,7.851890599937178,0.8166356898056936,0.0,0.0,0.0,8.309805000006842,7.851890599937178,0.8166356898056936,0.0,0.0,0.0,0.0,0.0,0.0
C1_NonBlockingScanning,medium,3,8.44515010000517,8.488205500005279,0.45372521850280306,0.19988563330844045,0.19737030001124367,0.012804257342006204,8.19095473329071,8.239241799921729,0.4614916555301786,0.0,0.0,0.0,8.19095473329071,8.239241799921729,0.4614916555301786,0.0,0.0,0.0,0.0,0.0,0.0
C1_NonBlockingScanning,small,3,8.281240066668639,8.366594200022519,0.264939276225897,0.17658826664167768,0.17759380000643432,0.007073706162241794,8.052690833380135,8.134512700024061,0.25988355995891355,0.0,0.0,0.0,8.052690833380135,8.134512700024061,0.25988355995891355,0.0,0.0,0.0,0.0,0.0,0.0
C1_NonBlockingScanning,xlarge,3,9.566659533341104,9.696382599999197,0.9917430124079352,0.2632765666542885,0.26804499997524545,0.06307048891694318,9.227811066686021,9.295926699996926,0.945872809638725,0.0,0.0,0.0,9.227811066686021,9.295926699996926,0.945872809638725,0.0,0.0,0.0,0.0,0.0,0.0
C1_NonBlockingScanning,xxlarge,3,11.03192193330809,9.44196229998488,3.059162070756415,0.2484355000196956,0.2012387000140734,0.08532215146815814,10.703477066689326,9.173639999993611,2.9426840567864967,0.0,0.0,0.0,10.703477066689326,9.173639999993611,2.9426840567864967,0.0,0.0,0.0,0.0,0.0,0.0
C2_AutoScanning,large,3,8.708431899993835,8.144191399973352,1.4093433413497023,0.23551986667249972,0.24213750002672896,0.02980287468335273,8.417132466682233,7.889546999998856,1.402094929932075,0.0,0.0,0.0,8.417132466682233,7.889546999998856,1.402094929932075,0.0,0.0,0.0,0.0,0.0,0.0
C2_AutoScanning,medium,3,9.758500333332146,8.904143300023861,2.089843559344591,0.22806359998260936,0.19540779996896163,0.07106303033732958,9.467817299979894,8.541602000012062,2.127432986497423,0.0,0.0,0.0,9.467817299979894,8.541602000012062,2.127432986497423,0.0,0.0,0.0,0.0,0.0,0.0
C2_AutoScanning,small,3,8.348918900010176,8.037686499999836,0.5863318932922253,0.20847033334818357,0.21565750002628192,0.016577514685951245,8.085910899972077,7.798516499926336,0.5748004074464048,0.0,0.0,0.0,8.085910899972077,7.798516499926336,0.5748004074464048,0.0,0.0,0.0,0.0,0.0,0.0
C2_AutoScanning,xlarge,3,9.40759736666223,9.04645259998506,1.0439174037106476,0.2470913999907983,0.23753639997448772,0.01659644614768798,9.10323016665643,8.721137599961367,1.0488814405232596,0.0,0.0,0.0,9.10323016665643,8.721137599961367,1.0488814405232596,0.0,0.0,0.0,0.0,0.0,0.0
C2_AutoScanning,xxlarge,3,10.389958300006887,9.23125519999303,2.687109603196544,0.26378820000293973,0.26592839998193085,0.029719053252533767,10.066147800030498,8.88191660004668,2.702795328272746,0.0,0.0,0.0,10.066147800030498,8.88191660004668,2.702795328272746,0.0,0.0,0.0,0.0,0.0,0.0
C3_PolicyOnly,large,3,8.635986166676352,8.311167300038505,1.1183129707401793,0.22915319999447092,0.2343140000011772,0.04414642291410545,8.232708499999717,7.960267299960833,1.1064791813007306,0.0,0.0,0.0,8.232708499999717,7.960267299960833,1.1064791813007306,0.0,0.0,0.0,0.10495836666086689,0.10110549995442852,0.014322005264294673
C3_PolicyOnly,medium,3,9.48731736668075,8.837963400001172,1.4905204357276753,0.242548833329541,0.23499239998636767,0.043681524882136336,9.0571270333409,8.42016069998499,1.4116938190541484,0.0,0.0,0.0,9.0571270333409,8.42016069998499,1.4116938190541484,0.0,0.0,0.0,0.11534119998880972,0.1148786999983713,0.030457383786726595
C3_PolicyOnly,small,3,9.006272300010702,8.661835100036114,0.6886003970856944,0.21369843332407376,0.20020570000633597,0.029562289901689288,8.612821766718602,8.22083470004145,0.7257943235078298,0.0,0.0,0.0,8.612821766718602,8.22083470004145,0.7257943235078298,0.0,0.0,0.0,0.11064206663286313,0.11942149995593354,0.016522582504602642
