comparison,metric,n_pairs,mean_delta_seconds,median_delta_seconds,stdev_delta_seconds,min_delta_seconds,max_delta_seconds
C5_vs_C0_total,pipeline_time_seconds,15,17.875227173344076,17.168103999982122,1.9257221029824139,15.617311400012113,22.463996300008148
C5_vs_C1_incremental,pipeline_time_seconds,15,8.940699253339941,8.678938899945933,1.6341321371864788,6.004270300036296,12.268858499999624
C3_vs_C1_policy_gate,pipeline_time_seconds,15,0.16421620667291184,0.2952409000135958,1.4028376701602188,-4.1006170999608,2.7041532000293955
C4_vs_C1_agent_rescan,pipeline_time_seconds,15,8.578112206662384,8.184953699936159,1.4007533818562687,5.981556900020223,11.327790499955881
C5_vs_C4_policy_increment,pipeline_time_seconds,15,0.36258704667755715,0.3779472999740392,1.4082626661469593,-3.3876043999916874,3.166594000009354
