run_id,configuration,repo,scenario,repetition,campaign_id,pipeline_success,pipeline_time_seconds,scanner_time_seconds,tool_failure_count,finding_count_initial,finding_count_residual,residual_critical,residual_high,residual_secret,policy_engine,policy_allow,policy_deny_count,tp_ground_truth,fp_unknown_or_false,fn_ground_truth,precision,recall,false_positive_rate,false_negative_rate,coverage,auto_remediation_rate,patch_success_rate,human_escalation_rate,mttd_seconds,mttr_seconds
20260713T162546967795Z_C5_SecFlowOps_external_nodegoat_r1,C5_SecFlowOps,external_nodegoat,external_open_source,1,external_20260713_r3_baselines,False,26.893759800004773,26.582185399893206,0,78,77,10,39,0,opa,False,3,0,78,0,0.0,0.0,1.0,0.0,0.0,0.01282051282051282,1.0,1.0,13.471584,0.01236
20260713T162614046352Z_C1_NonBlockingScanning_external_dvna_r1,C1_NonBlockingScanning,external_dvna,external_open_source,1,external_20260713_r3_baselines,True,13.676945000013802,13.490724300034344,0,2,2,0,1,0,not_applicable,True,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.675123,0.0
20260713T162628011989Z_C2_AutoScanning_external_dvna_r1,C2_AutoScanning,external_dvna,external_open_source,1,external_20260713_r3_baselines,True,12.926528099982534,12.82468700001482,0,2,2,0,1,0,not_applicable,True,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.924569,0.0
20260713T162641169819Z_C3_PolicyOnly_external_dvna_r1,C3_PolicyOnly,external_dvna,external_open_source,1,external_20260713_r3_baselines,True,13.591451500018593,13.37363580003148,0,2,2,0,1,0,opa,True,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.491724,0.0
20260713T162655088487Z_C4_AgentsOnly_external_dvna_r1,C4_AgentsOnly,external_dvna,external_open_source,1,external_20260713_r3_baselines,True,25.613379399990663,25.45103970001219,0,2,0,0,0,0,not_applicable,True,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,13.259064,0.013566
20260713T162720978530Z_C5_SecFlowOps_external_dvna_r1,C5_SecFlowOps,external_dvna,external_open_source,1,external_20260713_r3_baselines,True,26.03956369997468,25.786173299944494,0,2,0,0,0,0,opa,True,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,13.158484,0.016377
20260713T162747245557Z_C1_NonBlockingScanning_external_requests_r2,C1_NonBlockingScanning,external_requests,external_open_source,2,external_20260713_r3_baselines,True,12.967635300010443,12.865585100022145,0,0,0,0,0,0,not_applicable,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T162800408241Z_C2_AutoScanning_external_requests_r2,C2_AutoScanning,external_requests,external_open_source,2,external_20260713_r3_baselines,True,13.262249399966095,13.147980300069321,0,0,0,0,0,0,not_applicable,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T162813846033Z_C3_PolicyOnly_external_requests_r2,C3_PolicyOnly,external_requests,external_open_source,2,external_20260713_r3_baselines,True,14.5116357000079,14.320588499947917,0,0,0,0,0,0,opa,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T162828587173Z_C4_AgentsOnly_external_requests_r2,C4_AgentsOnly,external_requests,external_open_source,2,external_20260713_r3_baselines,True,28.2426051000366,26.8760247999453,0,0,0,0,0,0,not_applicable,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
