run_id,campaign_id,configuration,repo,size_class,origin_type,stack,file_count,loc,repetition,pipeline_success,pipeline_time_seconds,build_time_seconds,initial_trivy_seconds,initial_semgrep_seconds,initial_gitleaks_seconds,post_trivy_seconds,post_semgrep_seconds,post_gitleaks_seconds,initial_scanner_time_seconds,post_scanner_time_seconds,total_scanner_time_seconds,remediation_time_seconds,policy_time_seconds
20260714T121903610023Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,priority_validation_zap_breadth,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,small,controlled_full_protocol,python,8,,1,True,49.5898528000107,0.3071514000184834,1.9452031999826431,26.22308199998224,0.5160010000108741,0.0,0.0,0.0,28.68428619997576,0.0,28.68428619997576,0.0,0.0
20260714T121953335785Z_C3_PolicyOnly_full_alpha_sast_reflected_xss_r1,priority_validation_zap_breadth,C3_PolicyOnly,full_alpha_sast_reflected_xss,small,controlled_full_protocol,python,8,,1,True,48.39830370002892,0.23172450001584366,2.1989126999978907,25.156645499984734,0.5295670000487007,0.0,0.0,0.0,27.885125200031325,0.0,27.885125200031325,0.0,0.10626520001096651
20260714T122041808292Z_C1_NonBlockingScanning_full_beta_sast_reflected_xss_r1,priority_validation_zap_breadth,C1_NonBlockingScanning,full_beta_sast_reflected_xss,small,controlled_full_protocol,python,8,,1,True,50.497357000014745,0.20151520002400503,1.8007534999633208,27.267952899972443,0.5071227000444196,0.0,0.0,0.0,29.575829099980183,0.0,29.575829099980183,0.0,0.0
20260714T122132388032Z_C3_PolicyOnly_full_beta_sast_reflected_xss_r1,priority_validation_zap_breadth,C3_PolicyOnly,full_beta_sast_reflected_xss,small,controlled_full_protocol,python,8,,1,True,51.25451479997719,0.2097209000494331,1.959747300017625,27.11530570004834,0.6994751999736764,0.0,0.0,0.0,29.77452820003964,0.0,29.77452820003964,0.0,0.17250599997350946
20260714T122223715041Z_C1_NonBlockingScanning_full_gamma_sast_reflected_xss_r1,priority_validation_zap_breadth,C1_NonBlockingScanning,full_gamma_sast_reflected_xss,small,controlled_full_protocol,python,8,,1,True,52.067550600040704,0.29466320003848523,1.9686449999571778,27.539572199981194,0.8652132999850437,0.0,0.0,0.0,30.373430499923415,0.0,30.373430499923415,0.0,0.0
20260714T122315933103Z_C3_PolicyOnly_full_gamma_sast_reflected_xss_r1,priority_validation_zap_breadth,C3_PolicyOnly,full_gamma_sast_reflected_xss,small,controlled_full_protocol,python,8,,1,True,47.212922500038985,0.35918869997840375,1.905240699998103,24.576914599980228,0.46574169996893033,0.0,0.0,0.0,26.94789699994726,0.0,26.94789699994726,0.0,0.10184830002253875
