run_id,campaign_id,configuration,repo,scenario,repetition,finding_id,ground_truth_id,method,branch_created,pr_created,tests_returncode,human_review_required,status,time_to_patch_pr_seconds,time_to_green_patch_seconds
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T000602253373Z_C3_PolicyOnly_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C3_PolicyOnly,full_alpha_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
