run_id,campaign_id,configuration,repo,size_class,file_count,loc,repetition,pipeline_success,pipeline_time_seconds,build_time_seconds,initial_trivy_seconds,initial_semgrep_seconds,initial_gitleaks_seconds,post_trivy_seconds,post_semgrep_seconds,post_gitleaks_seconds,initial_scanner_time_seconds,post_scanner_time_seconds,total_scanner_time_seconds,remediation_time_seconds,policy_time_seconds
20260713T133541861664Z_C4_AgentsOnly_controlled_api_l_r1,expanded_20260713_cached_r3,C4_AgentsOnly,controlled_api_l,large,58,341,1,True,16.29246049997164,0.22237329999916255,1.5441531999967992,5.777740599995013,0.45107910002116114,1.3261813999852166,6.151335400005337,0.49480789998779073,7.772972900012974,7.972324699978344,15.745297599991318,0.22224829997867346,0.0
20260713T133558266819Z_C5_SecFlowOps_controlled_api_l_r1,expanded_20260713_cached_r3,C5_SecFlowOps,controlled_api_l,large,58,341,1,True,16.786445699981414,0.21599320002133027,1.908372199977748,5.919010300014634,0.5031964000081643,1.4623159000184387,5.852170400030445,0.4488825000007637,8.330578900000546,7.763368800049648,16.093947700050194,0.253987500036601,0.0965851999935694
20260713T133615164830Z_C0_BuildOnly_controlled_api_xl_r1,expanded_20260713_cached_r3,C0_BuildOnly,controlled_api_xl,xlarge,108,566,1,True,0.24299140000948682,0.23725299997022375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T133615571679Z_C1_NonBlockingScanning_controlled_api_xl_r1,expanded_20260713_cached_r3,C1_NonBlockingScanning,controlled_api_xl,xlarge,108,566,1,True,8.51643860002514,0.19795719999819994,1.9005317999981344,5.837209800025448,0.5119801000109874,0.0,0.0,0.0,8.24972170003457,0.0,8.24972170003457,0.0,0.0
20260713T133624245877Z_C2_AutoScanning_controlled_api_xl_r1,expanded_20260713_cached_r3,C2_AutoScanning,controlled_api_xl,xlarge,108,566,1,True,8.592205699998885,0.23748249997152016,1.8637910999823362,5.99368970002979,0.44147849996807054,0.0,0.0,0.0,8.298959299980197,0.0,8.298959299980197,0.0,0.0
20260713T133633115190Z_C3_PolicyOnly_controlled_api_xl_r1,expanded_20260713_cached_r3,C3_PolicyOnly,controlled_api_xl,xlarge,108,566,1,False,9.2123856000253,0.2066177999950014,2.0603511999943294,6.298764700011816,0.4952149000018835,0.0,0.0,0.0,8.854330800008029,0.0,8.854330800008029,0.0,0.09081419999711215
20260713T133642472192Z_C4_AgentsOnly_controlled_api_xl_r1,expanded_20260713_cached_r3,C4_AgentsOnly,controlled_api_xl,xlarge,108,566,1,True,17.703158600023016,0.21372810000320897,2.1505245000007562,5.998790900048334,0.4725935000460595,1.6139753000461496,6.378951599996071,0.4899866999476217,8.62190890009515,8.482913599989843,17.104822500084992,0.27777280000736937,0.0
20260713T133700361886Z_C5_SecFlowOps_controlled_api_xl_r1,expanded_20260713_cached_r3,C5_SecFlowOps,controlled_api_xl,xlarge,108,566,1,True,17.41109539999161,0.22150200000032783,1.6375003000139259,6.354444600001443,0.5848143000039272,1.5071344999596477,6.079317800002173,0.4492329999920912,8.576759200019296,8.035685299953911,16.612444499973208,0.32229340000776574,0.1277199000469409
20260713T133717958608Z_C0_BuildOnly_controlled_api_xxl_r1,expanded_20260713_cached_r3,C0_BuildOnly,controlled_api_xxl,xxlarge,208,1016,1,True,0.1827651999774389,0.17985529999714345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T133718425769Z_C1_NonBlockingScanning_controlled_api_xxl_r1,expanded_20260713_cached_r3,C1_NonBlockingScanning,controlled_api_xxl,xxlarge,208,1016,1,True,9.44196229998488,0.2012387000140734,1.6296655000187457,6.868009699974209,0.6759648000006564,0.0,0.0,0.0,9.173639999993611,0.0,9.173639999993611,0.0,0.0
