run_id,campaign_id,configuration,repo,repetition,pipeline_success,initial_findings_total,initial_findings_reviewed,initial_reviewed_true_positive,initial_reviewed_false_positive,initial_unreviewed_findings,residual_findings_total,residual_findings_reviewed,residual_reviewed_true_positive,residual_reviewed_false_positive,residual_unreviewed_findings,resolved_reviewed_true_positive,reviewed_resolution_rate,initial_adjudicated_precision,residual_adjudicated_precision,residual_reviewed_critical,residual_reviewed_high,residual_reviewed_secret,external_recall_assessable
20260713T162828587173Z_C4_AgentsOnly_external_requests_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_requests,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162857043089Z_C5_SecFlowOps_external_requests_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_requests,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162926443102Z_C1_NonBlockingScanning_external_flask_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_flask,2,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162942168386Z_C2_AutoScanning_external_flask_r2,external_20260713_r3_baselines,C2_AutoScanning,external_flask,2,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162958228266Z_C3_PolicyOnly_external_flask_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_flask,2,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T163012960546Z_C4_AgentsOnly_external_flask_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_flask,2,True,13,13,13,0,0,0,0,0,0,0,13,1.0,1.0,,0,0,0,false
20260713T163041817375Z_C5_SecFlowOps_external_flask_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_flask,2,True,13,13,13,0,0,0,0,0,0,0,13,1.0,1.0,,0,0,0,false
20260713T163113679111Z_C1_NonBlockingScanning_external_express_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_express,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163128408296Z_C2_AutoScanning_external_express_r2,external_20260713_r3_baselines,C2_AutoScanning,external_express,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163142564858Z_C3_PolicyOnly_external_express_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_express,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163156704359Z_C4_AgentsOnly_external_express_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_express,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163225296542Z_C5_SecFlowOps_external_express_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_express,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163254850882Z_C1_NonBlockingScanning_external_nodegoat_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_nodegoat,2,True,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T163309186472Z_C2_AutoScanning_external_nodegoat_r2,external_20260713_r3_baselines,C2_AutoScanning,external_nodegoat,2,True,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T163323142776Z_C3_PolicyOnly_external_nodegoat_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_nodegoat,2,False,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T163337155845Z_C4_AgentsOnly_external_nodegoat_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_nodegoat,2,True,78,78,78,0,0,77,77,77,0,0,1,0.01282051282051282,1.0,1.0,10,39,0,false
20260713T163403679051Z_C5_SecFlowOps_external_nodegoat_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_nodegoat,2,False,78,78,78,0,0,77,77,77,0,0,1,0.01282051282051282,1.0,1.0,10,39,0,false
20260713T163429932785Z_C1_NonBlockingScanning_external_dvna_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_dvna,2,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T163444572897Z_C2_AutoScanning_external_dvna_r2,external_20260713_r3_baselines,C2_AutoScanning,external_dvna,2,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T163458381953Z_C3_PolicyOnly_external_dvna_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_dvna,2,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T163512383905Z_C4_AgentsOnly_external_dvna_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_dvna,2,True,2,2,2,0,0,0,0,0,0,0,2,1.0,1.0,,0,0,0,false
20260713T163539099706Z_C5_SecFlowOps_external_dvna_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_dvna,2,True,2,2,2,0,0,0,0,0,0,0,2,1.0,1.0,,0,0,0,false
20260713T163606298336Z_C1_NonBlockingScanning_external_requests_r3,external_20260713_r3_baselines,C1_NonBlockingScanning,external_requests,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163620415289Z_C2_AutoScanning_external_requests_r3,external_20260713_r3_baselines,C2_AutoScanning,external_requests,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163634745605Z_C3_PolicyOnly_external_requests_r3,external_20260713_r3_baselines,C3_PolicyOnly,external_requests,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163650734554Z_C4_AgentsOnly_external_requests_r3,external_20260713_r3_baselines,C4_AgentsOnly,external_requests,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163720138138Z_C5_SecFlowOps_external_requests_r3,external_20260713_r3_baselines,C5_SecFlowOps,external_requests,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163749130109Z_C1_NonBlockingScanning_external_flask_r3,external_20260713_r3_baselines,C1_NonBlockingScanning,external_flask,3,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T163804480976Z_C2_AutoScanning_external_flask_r3,external_20260713_r3_baselines,C2_AutoScanning,external_flask,3,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
