run_id,campaign_id,configuration,repo,size_class,origin_type,stack,file_count,loc,repetition,pipeline_success,pipeline_time_seconds,build_time_seconds,initial_trivy_seconds,initial_semgrep_seconds,initial_gitleaks_seconds,post_trivy_seconds,post_semgrep_seconds,post_gitleaks_seconds,initial_scanner_time_seconds,post_scanner_time_seconds,total_scanner_time_seconds,remediation_time_seconds,policy_time_seconds
20260714T113811973194Z_C1_NonBlockingScanning_external_requests_r1,priority_validation_extended_external,C1_NonBlockingScanning,external_requests,unknown,external_oss_library,python;pip,130,19464,1,True,52.27390060003381,0.044585200026631355,11.67980720003834,39.71512220002478,0.7412532999878749,0.0,0.0,0.0,52.136182700050995,0.0,52.136182700050995,0.0,0.0
20260714T113904559495Z_C4_AgentsOnly_external_requests_r1,priority_validation_extended_external,C4_AgentsOnly,external_requests,unknown,external_oss_library,python;pip,130,19464,1,True,44.16795259999344,0.06434420001460239,2.8677278000395745,20.70830220001517,0.48898679995909333,1.4129535000538453,17.75326759996824,0.4581791000091471,24.065016800013836,19.624400200031232,43.68941700004507,0.2852564999484457,0.0
20260714T113949098435Z_C5_SecFlowOps_external_requests_r1,priority_validation_extended_external,C5_SecFlowOps,external_requests,unknown,external_oss_library,python;pip,130,19464,1,True,54.69063299999107,0.029977799975313246,2.086903900024481,20.052897899993695,0.8573076999746263,2.8917093999916688,27.155714499996975,0.7473842999897897,22.997109499992803,30.794808199978434,53.791917699971236,0.5982749999966472,0.11267729999963194
20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,priority_validation_extended_external,C1_NonBlockingScanning,external_flask,unknown,external_oss_framework,python;pip,236,36436,1,True,29.120348899974488,0.06440390000352636,4.098995600012131,24.296768000000156,0.5816400999901816,0.0,0.0,0.0,28.97740370000247,0.0,28.97740370000247,0.0,0.0
20260714T114113602325Z_C4_AgentsOnly_external_flask_r1,priority_validation_extended_external,C4_AgentsOnly,external_flask,unknown,external_oss_framework,python;pip,236,36436,1,True,38.558226399996784,0.029579800029750913,1.7206291999900714,17.50512000004528,0.4831283999956213,1.293790599971544,16.49585720000323,0.5340336000081152,19.708877600030974,18.32368139998289,38.03255900001386,0.3813545999582857,0.0
20260714T114152490917Z_C5_SecFlowOps_external_flask_r1,priority_validation_extended_external,C5_SecFlowOps,external_flask,unknown,external_oss_framework,python;pip,236,36436,1,True,57.27879439998651,0.03299090004293248,1.9128109000157565,24.449127300002147,1.3555234000086784,1.9720999999553896,25.58982490003109,0.8233114999602549,27.71746160002658,28.385236399946734,56.102697999973316,0.8427375999744982,0.12647600000491366
20260714T114250093309Z_C1_NonBlockingScanning_external_click_r1,priority_validation_extended_external,C1_NonBlockingScanning,external_click,unknown,external_oss_library,python;pip,163,38342,1,True,23.700253299961332,0.0459952000528574,2.6159961000084877,20.3606068000081,0.6120420999941416,0.0,0.0,0.0,23.58864500001073,0.0,23.58864500001073,0.0,0.0
20260714T114314223968Z_C4_AgentsOnly_external_click_r1,priority_validation_extended_external,C4_AgentsOnly,external_click,unknown,external_oss_library,python;pip,163,38342,1,True,60.559133299975656,0.031781100027728826,1.6217001999611966,24.455402599996887,0.8195690999855287,2.220582200039644,29.70791310002096,0.7468793999869376,26.896671899943613,32.67537470004754,59.572046599991154,0.8111568000167608,0.0
20260714T114415024416Z_C5_SecFlowOps_external_click_r1,priority_validation_extended_external,C5_SecFlowOps,external_click,unknown,external_oss_library,python;pip,163,38342,1,True,54.56842339999275,0.04256530001293868,3.92406970000593,23.24898839998059,0.599316900013946,1.552049399993848,23.74664179998217,0.7483193000080064,27.772375000000466,26.047010499984026,53.81938549998449,0.4695670999935828,0.10584729997208342
20260714T114509895554Z_C1_NonBlockingScanning_external_itsdangerous_r1,priority_validation_extended_external,C1_NonBlockingScanning,external_itsdangerous,unknown,external_oss_library,python;pip,50,4385,1,True,28.717631799983792,0.03738350002095103,2.3378108000033535,25.613125600037165,0.6492271000170149,0.0,0.0,0.0,28.600163500057533,0.0,28.600163500057533,0.0,0.0
