run_id,campaign_id,configuration,repo,scenario,repetition,finding_id,ground_truth_id,method,branch_created,pr_created,tests_returncode,human_review_required,status,time_to_patch_pr_seconds,time_to_green_patch_seconds
20260714T121903610023Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,priority_validation_zap_breadth,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T121953335785Z_C3_PolicyOnly_full_alpha_sast_reflected_xss_r1,priority_validation_zap_breadth,C3_PolicyOnly,full_alpha_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T122041808292Z_C1_NonBlockingScanning_full_beta_sast_reflected_xss_r1,priority_validation_zap_breadth,C1_NonBlockingScanning,full_beta_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T122132388032Z_C3_PolicyOnly_full_beta_sast_reflected_xss_r1,priority_validation_zap_breadth,C3_PolicyOnly,full_beta_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T122223715041Z_C1_NonBlockingScanning_full_gamma_sast_reflected_xss_r1,priority_validation_zap_breadth,C1_NonBlockingScanning,full_gamma_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T122315933103Z_C3_PolicyOnly_full_gamma_sast_reflected_xss_r1,priority_validation_zap_breadth,C3_PolicyOnly,full_gamma_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
