run_id,campaign_id,configuration,repo,size_class,origin_type,stack,file_count,loc,repetition,pipeline_success,pipeline_time_seconds,build_time_seconds,initial_trivy_seconds,initial_semgrep_seconds,initial_gitleaks_seconds,post_trivy_seconds,post_semgrep_seconds,post_gitleaks_seconds,initial_scanner_time_seconds,post_scanner_time_seconds,total_scanner_time_seconds,remediation_time_seconds,policy_time_seconds
20260713T161951161040Z_C1_NonBlockingScanning_external_requests_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_requests,unknown,external_oss_library,python;pip,130,19464,1,True,13.357790000038221,0.0485369999660179,2.410848400031682,10.285807100008242,0.5610667999717407,0.0,0.0,0.0,13.257722300011665,0.0,13.257722300011665,0.0,0.0
20260713T162004757521Z_C2_AutoScanning_external_requests_r1,external_20260713_r3_baselines,C2_AutoScanning,external_requests,unknown,external_oss_library,python;pip,130,19464,1,True,12.745676100021228,0.05752739997114986,1.7611159000080079,10.363741800014395,0.5130286000203341,0.0,0.0,0.0,12.637886300042737,0.0,12.637886300042737,0.0,0.0
20260713T162017742550Z_C3_PolicyOnly_external_requests_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_requests,unknown,external_oss_library,python;pip,130,19464,1,True,12.125924200052395,0.05349760001990944,1.6970242999959737,9.75863220001338,0.47033319994807243,0.0,0.0,0.0,11.925989699957427,0.0,11.925989699957427,0.0,0.09060140000656247
20260713T162030062045Z_C4_AgentsOnly_external_requests_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_requests,unknown,external_oss_library,python;pip,130,19464,1,True,25.714519200031646,0.048394499986898154,2.203850499994587,9.973524299974088,0.4649492999888025,1.5044656999525614,9.850699400005396,0.5288107999949716,12.642324099957477,11.88397589995293,24.526299999910407,1.027983200037852,0.0
20260713T162055975876Z_C5_SecFlowOps_external_requests_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_requests,unknown,external_oss_library,python;pip,130,19464,1,True,25.75649559998419,0.055621499952394515,1.7819396000122651,10.547305799962487,0.4918861999758519,1.599580199981574,9.590339199989103,0.4598667999962345,12.821131599950604,11.649786199966911,24.470917799917515,1.045259199978318,0.08383060002233833
20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_flask,unknown,external_oss_framework,python;pip,236,36436,1,True,14.81321970000863,0.06881899997824803,2.826439800031949,11.362157399998978,0.49871409998741,0.0,0.0,0.0,14.687311300018337,0.0,14.687311300018337,0.0,0.0
20260713T162137277940Z_C2_AutoScanning_external_flask_r1,external_20260713_r3_baselines,C2_AutoScanning,external_flask,unknown,external_oss_framework,python;pip,236,36436,1,True,13.3343942000065,0.057412999973166734,1.955953299999237,10.777451700007077,0.48590009997133166,0.0,0.0,0.0,13.219305099977646,0.0,13.219305099977646,0.0,0.0
20260713T162150960557Z_C3_PolicyOnly_external_flask_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_flask,unknown,external_oss_framework,python;pip,236,36436,1,True,13.364226699981373,0.04851090000011027,2.029628699994646,10.509505199966952,0.5801199999987148,0.0,0.0,0.0,13.119253899960313,0.0,13.119253899960313,0.0,0.11262129998067394
20260713T162204642075Z_C4_AgentsOnly_external_flask_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_flask,unknown,external_oss_framework,python;pip,236,36436,1,True,25.78174330003094,0.04734900000039488,2.009841100021731,10.45724610000616,0.6113056000322104,1.4405147000215948,9.800960099964868,0.5095481000025757,13.0783928000601,11.751022899989039,24.82941570004914,0.7959264000528492,0.0
20260713T162230777913Z_C5_SecFlowOps_external_flask_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_flask,unknown,external_oss_framework,python;pip,236,36436,1,True,28.15164489997551,0.05369480000808835,2.2251695999875665,11.59410669998033,0.6565073999809101,1.5860504999873228,10.490739300032146,0.5181382999871857,14.475783699948806,12.594928100006655,27.07071179995546,0.8282022000057623,0.08496549999108538
