configuration,repo_id,scenario,planned_repetitions,primary_metrics
C1_NonBlockingScanning,injected_requests,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
C4_AgentsOnly,injected_requests,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
C5_SecFlowOps,injected_requests,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
C1_NonBlockingScanning,injected_flask,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
C4_AgentsOnly,injected_flask,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
C5_SecFlowOps,injected_flask,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
C1_NonBlockingScanning,injected_express,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
C4_AgentsOnly,injected_express,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
C5_SecFlowOps,injected_express,injected_external_real_base,3,recall;precision;residual_critical;residual_high;residual_secret;reviewed_resolution_rate;pipeline_time_seconds
